Site,plot,date,count,species,species_good,foodtype_broad,foodtype_specific,hostplants_genera,hostplants_family,wing_low,wing_high,exotic,specialization_distance,specialization_notes,gbif_totalCount,sampleSize,area_km2,minFlight,maxFlight,lengthFlight,gbif_notes,date_format,year,month,specialist,specialist_family
Ramsey Rd.,1,6/30/2017,2,"Halysidota tessellaris (J.E.Smith, 1797)",Halysidota tessellaris,plants,plants,38,22,40,45,0,234.8397807,,12615,12615,5021.52725,3,9,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Eudryas grata (Fabricius, 1793)",Eudryas grata,plants,plants,5,3,35,46,0,202.5765318,,3313,3313,654.1925511,5,9,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Costaconvexa centrostrigaria (Wollaston, 1858) ",Costaconvexa centrostrigaria,plants,herbaceous,3,2,17,23,0,182.3705387,,7078,7078,2297.882414,1,12,12,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,3,"Abagrotis anchocelioides (Guenee, 1852) ",Abagrotis anchocelioides,plants,plants,3,3,37,37,0,245.8382327,,72,72,198.096228,NA,NA,NA,no adult observations in the mid-atlantic,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Panopoda carneicosta Guenée, 1852 ",Panopoda carneicosta,plants,woody,4,4,38,46,0,228.3962065,0,1905,1905,579.1971188,1,9,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,2,"Acrolophus popeanella (Clemens, 1859)",Acrolophus popeanella,plants,herbaceous,2,2,25.5,38,0,271.51641,,3344,3344,2245.914321,6,10,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,5,"Crambus agitatellus Clemens, 1860",Crambus agitatellus,plants,herbaceous,NA,NA,17,22,0,NA,no host plant genera specified,4304,4304,621.9317247,5,9,5,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,1,6/30/2017,1,"Microcrambus elegans (Clemens, 1860)",Microcrambus elegans,other,generalist,1,1,12,15,0,NA,also detritophagous,5694,5694,2687.294046,5,10,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,2,"Digrammia ocellinata (Guenée, [1858])",Digrammia ocellinata,plants,woody,2,1,21,27,0,155.926325,0,1076,1076,3351.169187,4,9,6,NA,6/30/2017,2017,6,generalist,specialist
Ramsey Rd.,1,6/30/2017,1,"Noctua pronuba (Linnaeus, 1758)",Noctua pronuba,plants,plants,17,14,50,60,1,243.3017215,,320498,100000,6439.634797,3,11,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Speranza pustularia (Guenée, [1858])",Speranza pustularia,plants,woody,8,6,18,27,0,437.5198807,0,5415,5415,609.7300142,5,10,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,4,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/2017,2017,6,NA,NA
