plot,mothID,mothID_format,count,total_basal_all,planttype,num_hostplants,category
1,"Panopoda carneicosta Guenée, 1852",Panopoda carneicosta,1,0.001745567,wood,4,generalist
1,"Desmia funeralis (Hübner, 1796)",Desmia funeralis,1,0.016505875,wood,2,generalist
1,"Athetis tarda (Guenée, 1852)",Athetis tarda,2,0,wood,2,generalist
1,"Hyperstrotia nana (Hübner, 1818) ",Hyperstrotia nana,1,0.001745567,wood,4,generalist
1,"Besma quercivoraria (Guenée, [1858])",Besma quercivoraria,1,0.331760383,wood,7,generalist
1,"Tortricidia pallida (Herrich-Schäffer, 1854)",Tortricidia pallida,2,0.585329639,wood,8,generalist
1,"Udea rubigalis (Guenée, 1854)",Udea rubigalis,2,0,wood,1,specialist
1,"Ectropis crepuscularia ([Denis & Schiffermüller], 1775)",Ectropis crepuscularia,1,0.513145316,wood,20,generalist
1,"Euparthenos nubilis (Hübner, 1823)",Euparthenos nubilis,1,0,wood,1,specialist
1,"Iridopsis larvaria (Guenée, [1858])",Iridopsis larvaria,3,0.520974697,wood,12,generalist
1,"Melanolophia canadaria (Guenée, [1858])",Melanolophia canadaria,1,0.661313137,wood,26,generalist
1,"Lomographa vestaliata (Guenée, [1858])",Lomographa vestaliata,3,0.520974697,wood,10,generalist
1,Abagrotis anchocelioides ,Abagrotis anchocelioides,3,0.016505875,wood,2,generalist
1,"Cyclophora pendulinaria (Guenée, [1858])",Cyclophora pendulinaria,1,0,wood,4,generalist
1,"Orthodes majuscula Herrich-Schäffer, 1868",Orthodes majuscula,1,0,wood,2,generalist
1,Acharia stimulea,Acharia stimulea,1,0.699394732,wood,31,generalist
1,Acronicta hasta,Acronicta hasta,1,0.253569256,wood,3,generalist
1,"Melanolophia canadaria (Guenée, [1858]) ",Melanolophia canadaria,1,0.661313137,wood,26,generalist
1,"Abagrotis anchocelioides (Guenée, 1852)",Abagrotis anchocelioides,1,0.016505875,wood,2,generalist
1,Acronicta retardata,Acronicta retardata,2,0.257830493,wood,4,generalist
1,"Actias luna (Linnaeus, 1758)",Actias luna,1,3.031125505,wood,22,generalist
1,"Ancylis burgessiana (Zeller, 1875)",Ancylis burgessiana,1,0.253569256,wood,4,generalist
1,"Antaeotricha schlaegeri (Zeller, 1854)",Antaeotricha schlaegeri,2,0,wood,2,generalist
1,"Argyresthia oreasella Clemens, 1860",Argyresthia oreasella,1,0.261193276,wood,3,generalist
1,"Blastobasis glandulella (Riley, 1871)",Blastobasis glandulella,2,0.001745567,wood,3,generalist
1,"Calledapteryx dryopterata Grote, 1868",Calledapteryx dryopterata,2,0.000205361,wood,1,specialist
1,"Callosamia angulifera (Walker, 1855)",Callosamia angulifera,1,2.705936668,wood,6,generalist
1,"Chionodes thoraceochrella (Chambers, 1872)",Chionodes thoraceochrella,2,0.253569256,wood,4,generalist
1,"Choristoneura rosaceana (Harris, 1841)",Choristoneura rosaceana,1,0.595687525,wood,29,generalist
1,"Clemensia albata Packard, 1864",Clemensia albata,3,0,wood,2,generalist
1,"Clemensia albata Packard, 1864 ",Clemensia albata,1,0,wood,2,generalist
1,"Clepsis clemensiana (Fernald, 1879)",Clepsis clemensiana,1,0,wood,1,specialist
1,"Cyclophora packardi (Prout, 1936)",Cyclophora packardi,2,0,wood,4,generalist
