"","plot","year","specialist_abundance","generalist_abundance","other_abundance","total_abundance","specialist_richness","generalist_richness","other_richness","total_richness","specialist_biomass","generalist_biomass","other_biomass","total_biomass","specialist_family_richness","generalist_family_richness","other_family_richness","total_family_richness","specialist_family_abundance","generalist_family_abundance","other_family_abundance","total_family_abundance","specialist_family_biomass","generalist_family_biomass","other_family_biomass","total_family_biomass","plotID","site","siteID.x","total_basal","genera_richness","keystone_basal","productivity_index","productivity","siteID.y","site_name","lat_fixed","long_fixed","imperv_1km_mean","imperv_500m_mean","imperv_100m_mean","imperv_50m_mean","prop_keystone","site_format"
"1",1,2017,6,50,21,77,4,31,9,44,84.589997777,1018.444391217,0,1103.034388994,7,28,9,44,10,46,21,77,144.69000884,958.344380154,0,1103.034388994,1,"01: Ramsey Road","01",3.123810677,14,0.513145316,264.101023837,84.5445038591883,"RR01","Ramsey Rd. Mt.Cuba",39.7814,-75.6555,2.41399082568807,0.44367816091954,0,0,0.164269019175262," Ramsey Road"
"2",1,2018,16,160,32,208,8,67,11,86,94.467737035,3323.337250651,0,3417.804987686,12,63,11,86,25,151,32,208,216.449045636,3201.35594205,0,3417.804987686,1,"01: Ramsey Road","01",3.123810677,14,0.513145316,264.101023837,84.5445038591883,"RR01","Ramsey Rd. Mt.Cuba",39.7814,-75.6555,2.41399082568807,0.44367816091954,0,0,0.164269019175262," Ramsey Road"
"3",2,2017,16,40,18,74,9,24,9,42,173.863171298,931.035023408,100.32598826,1205.224182966,10,23,9,42,17,39,18,74,179.055655186,925.84253952,100.32598826,1205.224182966,2,"02: Ramsey Road","02",7.63837549,14,1.45255549,715.432412091,93.6629016245181,"RR02","Ramsey Rd. Mt.Cuba",39.78141,-75.6549,2.00859598853868,0.446224256292906,0,0,0.190165499444438," Ramsey Road"
"4",2,2018,18,131,36,185,13,58,16,87,155.777539664,3308.590881097,0,3464.368420761,17,54,16,87,22,127,36,185,258.911170052,3205.457250709,0,3464.368420761,2,"02: Ramsey Road","02",7.63837549,14,1.45255549,715.432412091,93.6629016245181,"RR02","Ramsey Rd. Mt.Cuba",39.78141,-75.6549,2.00859598853868,0.446224256292906,0,0,0.190165499444438," Ramsey Road"
"5",3,2017,7,60,41,108,4,31,6,41,57.722386177,3573.629950794,0,3631.352336971,4,31,6,41,7,60,41,108,57.722386177,3573.629950794,0,3631.352336971,3,"03: Ramsey Road","03",6.135682131,18,2.681498732,1223.911382838,199.474379002506,"RR03","Ramsey Rd. Mt.Cuba",39.78161,-75.6561,2.7443458345262,0.391752577319588,0,0,0.437033515548656," Ramsey Road"
"6",3,2018,14,123,40,177,7,66,10,83,97.029327319,2807.642588223,0,2904.671915542,12,61,10,83,21,116,40,177,212.360684745,2692.311230797,0,2904.671915542,3,"03: Ramsey Road","03",6.135682131,18,2.681498732,1223.911382838,199.474379002506,"RR03","Ramsey Rd. Mt.Cuba",39.78161,-75.6561,2.7443458345262,0.391752577319588,0,0,0.437033515548656," Ramsey Road"
"7",4,2017,7,41,27,75,3,21,8,32,100.901068431,928.397197649,77.621883239,1106.920149319,4,20,8,32,8,40,27,75,104.715430184,924.582835896,77.621883239,1106.920149319,4,"04: Ramsey Road","04",13.513001886,11,1.407709824,796.98537913,58.979151031993,"RR04","Ramsey Rd. Mt.Cuba",39.78226,-75.6561,2.23765786452354,0.225400457665904,0,0,0.104174471066895," Ramsey Road"
"8",4,2018,15,181,48,244,7,70,12,89,99.446113681,2582.984679151,0,2682.430792832,8,69,12,89,17,179,48,244,206.014348301,2476.416444531,0,2682.430792832,4,"04: Ramsey Road","04",13.513001886,11,1.407709824,796.98537913,58.979151031993,"RR04","Ramsey Rd. Mt.Cuba",39.78226,-75.6561,2.23765786452354,0.225400457665904,0,0,0.104174471066895," Ramsey Road"
"9",5,2017,11,78,28,117,10,47,11,68,293.027237315,1330.86693092,0,1623.894168235,13,44,11,68,14,75,28,117,447.441185692,1176.452982543,0,1623.894168235,5,"05: Creek Road","05",7.156002666,10,4.908880545,2702.425126513,377.644510859801,"CR05","Mt.Cuba -Creek Rd",39.79116,-75.642,0.798449612403101,0.677714285714286,0.46875,0.111111111111111,0.685980815563883," Creek Road"
"10",5,2018,43,224,33,300,17,94,19,130,329.318745899,4985.241939109,0,5314.560685008,22,89,19,130,60,207,33,300,1036.458538185,4278.102146823,0,5314.560685008,5,"05: Creek Road","05",7.156002666,10,4.908880545,2702.425126513,377.644510859801,"CR05","Mt.Cuba -Creek Rd",39.79116,-75.642,0.798449612403101,0.677714285714286,0.46875,0.111111111111111,0.685980815563883," Creek Road"
"11",6,2017,10,91,18,119,7,53,9,69,31.172255983,3508.677183893,0,3539.849439876,9,51,9,69,13,88,18,119,62.702980571,3477.146459305,0,3539.849439876,6,"06: Creek Road","06",6.316733177,10,3.506035205,2288.28517105,362.257690317192,"CR06","Mt.Cuba -Creek Rd",39.79105,-75.6428,0.717647058823529,0.654109589041096,0,0,0.555039306989553," Creek Road"
"12",6,2018,15,159,15,189,9,66,12,87,296.09523449,3072.571777932,0,3368.667012422,13,62,12,87,20,154,15,189,413.501773058,2955.165239364,0,3368.667012422,6,"06: Creek Road","06",6.316733177,10,3.506035205,2288.28517105,362.257690317192,"CR06","Mt.Cuba -Creek Rd",39.79105,-75.6428,0.717647058823529,0.654109589041096,0,0,0.555039306989553," Creek Road"
"13",7,2017,4,49,13,66,3,31,8,42,131.772825722,720.96645587,84.914967483,937.654249075,4,30,8,42,5,48,13,66,136.96530961,715.773971982,84.914967483,937.654249075,7,"07: Creek Road","07",5.864048694,13,3.692618333,2292.063526785,390.867069219634,"CR07","Mt Cuba -Creek Rd",39.79166,-75.6416,0.857429718875502,0.707762557077626,1,1,0.629704582224603," Creek Road"
"14",7,2018,26,163,38,227,11,72,19,102,315.219014826,5078.204353522,0,5393.423368348,16,67,19,102,35,154,38,227,881.651787265,4511.771581083,0,5393.423368348,7,"07: Creek Road","07",5.864048694,13,3.692618333,2292.063526785,390.867069219634,"CR07","Mt Cuba -Creek Rd",39.79166,-75.6416,0.857429718875502,0.707762557077626,1,1,0.629704582224603," Creek Road"
"15",8,2017,9,52,12,73,6,29,10,45,74.953328427,1115.328497457,51.502132656,1241.78395854,7,28,10,45,10,51,12,73,80.145812315,1110.136013569,51.502132656,1241.78395854,8,"08: Creek Road","08",11.86416261,18,5.003616052,3007.282448972,253.476165813611,"CR08","Mt Cuba -Creek Rd",39.79116,-75.6412,0.846681922196796,0.722669735327963,0.944444444444444,0.875,0.421742032411338," Creek Road"
"16",8,2018,13,110,24,147,8,59,19,86,157.590835444,1934.325989038,0,2091.916824482,12,55,19,86,22,101,24,147,179.171686905,1912.745137577,0,2091.916824482,8,"08: Creek Road","08",11.86416261,18,5.003616052,3007.282448972,253.476165813611,"CR08","Mt Cuba -Creek Rd",39.79116,-75.6412,0.846681922196796,0.722669735327963,0.944444444444444,0.875,0.421742032411338," Creek Road"
"17",9,2017,25,111,45,181,9,59,17,85,262.941336613,2414.539894366,0,2677.481230979,11,57,17,85,27,109,45,181,329.321287433,2348.159943546,0,2677.481230979,9,"09: Ecology Woods","09",4.977047961,21,2.648294456,1391.995210235,279.682900615512,"EW09","Ecology Woods",39.663008,-75.743595,27.4872456291201,9.61811926605505,0,0,0.53210145386421," Ecology Woods"
"18",9,2018,318,99,15,432,12,53,12,77,196.098347103,1453.094271595,0,1649.192618698,16,49,12,77,322,95,15,432,257.874306924,1391.318311774,0,1649.192618698,9,"09: Ecology Woods","09",4.977047961,21,2.648294456,1391.995210235,279.682900615512,"EW09","Ecology Woods",39.663008,-75.743595,27.4872456291201,9.61811926605505,0,0,0.53210145386421," Ecology Woods"
"19",10,2017,1,17,6,24,1,10,3,14,2.269505338,158.219656543,0,160.489161881,1,10,3,14,1,17,6,24,2.269505338,158.219656543,0,160.489161881,10,"10: Ecology Woods","10",3.820973593,17,1.172379175,634.895353227,166.160623143307,"EW10","Ecology Woods",39.6623,-75.743457,28.1605150214592,12.3821510297483,0,0,0.306827342944163," Ecology Woods"
"20",10,2018,86,143,31,260,19,53,15,87,338.305070373,1617.607123206,0,1955.912193579,19,53,15,87,86,143,31,260,338.305070373,1617.607123206,0,1955.912193579,10,"10: Ecology Woods","10",3.820973593,17,1.172379175,634.895353227,166.160623143307,"EW10","Ecology Woods",39.6623,-75.743457,28.1605150214592,12.3821510297483,0,0,0.306827342944163," Ecology Woods"
"21",11,2017,15,50,46,111,9,34,16,59,234.416082281,874.937512727,0,1109.353595008,11,32,16,59,17,48,46,111,240.499949372,868.853645636,0,1109.353595008,11,"11: Ecology Woods","11",4.6474049004,18,2.5637628154,1319.236769396,283.86525333363,"EW11","Ecology Woods",39.661397,-75.744482,30.8769670958512,19.0218642117376,0,0,0.551654712757939," Ecology Woods"
"22",11,2018,54,138,29,221,19,56,17,92,187.670609275,1638.558955011,0,1826.229564286,21,54,17,92,57,135,29,221,197.453837591,1628.775726695,0,1826.229564286,11,"11: Ecology Woods","11",4.6474049004,18,2.5637628154,1319.236769396,283.86525333363,"EW11","Ecology Woods",39.661397,-75.744482,30.8769670958512,19.0218642117376,0,0,0.551654712757939," Ecology Woods"
"23",12,2017,21,58,56,135,8,29,18,55,152.128904288,766.928951732,0,919.05785602,10,27,18,55,24,55,56,135,158.228438143,760.829417877,0,919.05785602,12,"12: Ecology Woods","12",3.7611439446,19,1.591361973,853.589017534,226.949308536709,"EW12","Ecology Woods",39.662158,-75.745655,31.7167381974249,21.0332568807339,4.61111111111111,0.222222222222222,0.423105841318509," Ecology Woods"
"24",12,2018,43,134,49,226,17,74,23,114,294.810921621,2157.883334503,0,2452.694256124,21,70,23,114,48,129,49,226,322.549504983,2130.144751141,0,2452.694256124,12,"12: Ecology Woods","12",3.7611439446,19,1.591361973,853.589017534,226.949308536709,"EW12","Ecology Woods",39.662158,-75.745655,31.7167381974249,21.0332568807339,4.61111111111111,0.222222222222222,0.423105841318509," Ecology Woods"
"25",13,2017,7,33,10,50,6,15,8,29,61.97524329,360.999993613,0,422.975236903,7,14,8,29,8,32,10,50,75.14436364,347.830873263,0,422.975236903,13,"13: Motorpool","13",6.483320325,14,2.666170177,1125.25075169,173.560875490137,"MP13","Motorpool",39.67681,-75.7395,43.6107286288009,46.2299771167048,19.6875,0,0.411235299715042," Motorpool"
"26",13,2018,23,92,22,137,11,39,10,60,250.635307217,916.223071972,0,1166.858379189,15,35,10,60,30,85,22,137,278.278209181,888.580170008,0,1166.858379189,13,"13: Motorpool","13",6.483320325,14,2.666170177,1125.25075169,173.560875490137,"MP13","Motorpool",39.67681,-75.7395,43.6107286288009,46.2299771167048,19.6875,0,0.411235299715042," Motorpool"
"27",14,2017,6,44,9,59,2,17,7,26,8.004826057,390.500830836,0,398.505656893,4,15,7,26,11,39,9,59,25.764690835,372.740966058,0,398.505656893,14,"14: Motorpool","14",5.480641489,16,1.189539636,540.874143096,98.6881087152971,"MP14","Motorpool",39.67694,-75.739,44.2049297793064,46.3658256880734,27.6857142857143,27.7777777777778,0.217043869479053," Motorpool"
"28",14,2018,45,144,35,224,14,46,17,77,116.08316236,1188.630362195,0,1304.713524555,16,44,17,77,47,142,35,224,117.541390226,1187.172134329,0,1304.713524555,14,"14: Motorpool","14",5.480641489,16,1.189539636,540.874143096,98.6881087152971,"MP14","Motorpool",39.67694,-75.739,44.2049297793064,46.3658256880734,27.6857142857143,27.7777777777778,0.217043869479053," Motorpool"
"29",15,2017,12,47,11,70,6,25,10,41,82.312925207,596.393573086,0,678.706498293,8,23,10,41,15,44,11,70,183.750645547,494.955852746,0,678.706498293,15,"15: Motorpool","15",3.572788885,9,0.899210798,406.452753664,113.763439919569,"MP15","Motorpool",39.67614,-75.7387,40.8178172443426,42.5022935779817,17.9428571428571,0.25,0.25168316039474," Motorpool"
"30",15,2018,29,60,25,114,9,25,10,44,72.747601407,768.577536935,0,841.325138342,9,25,10,44,29,60,25,114,72.747601407,768.577536935,0,841.325138342,15,"15: Motorpool","15",3.572788885,9,0.899210798,406.452753664,113.763439919569,"MP15","Motorpool",39.67614,-75.7387,40.8178172443426,42.5022935779817,17.9428571428571,0.25,0.25168316039474," Motorpool"
"31",16,2017,16,30,15,61,8,13,7,28,55.055866064,237.571962024,0,292.627828088,9,12,7,28,17,29,15,61,58.187464732,234.440363356,0,292.627828088,16,"16: Motorpool","16",4.551945639,18,1.305508957,552.126230607,121.294557183748,"MP16","Motorpool",39.67579,-75.7387,39.1143266475645,40.5177548682703,12.3714285714286,0.555555555555556,0.286802405067123," Motorpool"
"32",16,2018,24,74,32,130,11,40,14,65,84.963664806,1638.840127668,0,1723.803792474,13,38,14,65,26,72,32,130,103.325269044,1620.47852343,0,1723.803792474,16,"16: Motorpool","16",4.551945639,18,1.305508957,552.126230607,121.294557183748,"MP16","Motorpool",39.67579,-75.7387,39.1143266475645,40.5177548682703,12.3714285714286,0.555555555555556,0.286802405067123," Motorpool"
"33",17,2017,7,20,4,31,6,12,4,22,51.308172378,168.567401896,0,219.875574274,6,12,4,22,7,20,4,31,51.308172378,168.567401896,0,219.875574274,17,"17: Chrysler","17",2.859045271,23,2.754603674,868.340235079,303.716853974573,"CW17","Chrysler Woods",39.65944,-75.7561,45.784773898111,54.7531428571429,14,6.77777777777778,0.963469764519164," Chrysler"
"34",17,2018,22,74,18,114,6,44,11,61,149.138953485,1466.898799743,0,1616.037753228,7,43,11,61,23,73,18,114,154.331437373,1461.706315855,0,1616.037753228,17,"17: Chrysler","17",2.859045271,23,2.754603674,868.340235079,303.716853974573,"CW17","Chrysler Woods",39.65944,-75.7561,45.784773898111,54.7531428571429,14,6.77777777777778,0.963469764519164," Chrysler"
"35",18,2017,4,23,23,50,4,16,7,27,42.259695849,446.468950452,0,488.728646301,4,16,7,27,4,23,23,50,42.259695849,446.468950452,0,488.728646301,18,"18: Chrysler","18",3.899303209,20,1.55571079,562.410493541,144.233588258255,"CW18","Chrysler Woods",39.66031,-75.7555,46.5499856774563,63.9357798165138,31.4166666666667,20.375,0.398971484548638," Chrysler"
"36",18,2018,15,41,19,75,7,29,12,48,59.184343012,1457.654885933,0,1516.839228945,10,26,12,48,19,37,19,75,71.565252018,1445.273976927,0,1516.839228945,18,"18: Chrysler","18",3.899303209,20,1.55571079,562.410493541,144.233588258255,"CW18","Chrysler Woods",39.66031,-75.7555,46.5499856774563,63.9357798165138,31.4166666666667,20.375,0.398971484548638," Chrysler"
