Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL,variance,ID,site_format,plotID,year,scaled_imperv,scaled_basal,scaled_genera,scaled_keystone,Site,year_factor,rep,year_binary
plot.1.2017,Species richness,30,62.59259259,33.76356328,30,128.7679606,1139.978205,plot.1, Ramsey Road,1,2017,-0.901724807,-0.707944463,-0.596773341,-1.397954492, Ramsey Road,1,1,0
plot.1.2018,Species richness,64,122.1225806,21.4595052,80.06272333,164.182438,460.5103634,plot.1, Ramsey Road,1,2018,-0.901724807,-0.707944463,-0.596773341,-1.397954492, Ramsey Road,2,2,1
plot.10.2017,Species richness,10,12.94117647,6.364931611,10,25.41621319,40.51235442,plot.10, Ecology Woods,10,2017,0.398371148,-0.462980668,-0.052878651,-0.846965764, Ecology Woods,1,3,0
plot.10.2018,Species richness,52,88.19148936,17.8493615,53.20738368,123.175595,318.5997059,plot.10, Ecology Woods,10,2018,0.398371148,-0.462980668,-0.052878651,-0.846965764, Ecology Woods,2,4,1
plot.11.2017,Species richness,33,89.4244898,50.18468653,33,187.784668,2518.502763,plot.11, Ecology Woods,11,2017,0.535541056,-0.17259553,0.12841958,0.315954938, Ecology Woods,1,5,0
plot.11.2018,Species richness,55,87.42822384,13.77465392,60.43039826,114.4260494,189.7410906,plot.11, Ecology Woods,11,2018,0.535541056,-0.17259553,0.12841958,0.315954938, Ecology Woods,2,6,1
plot.12.2017,Species richness,29,64.47758621,36.91038188,29,136.8206053,1362.37629,plot.12, Ecology Woods,12,2017,0.57794612,-0.484003154,0.30971781,-0.496779262, Ecology Woods,1,7,0
plot.12.2018,Species richness,73,144.773539,26.89167915,92.06681635,197.4802616,723.1624073,plot.12, Ecology Woods,12,2018,0.57794612,-0.484003154,0.30971781,-0.496779262, Ecology Woods,2,8,1
plot.13.2017,Species richness,15,68.33333333,27.63952527,15,122.5058074,763.9433573,plot.13, Motorpool,13,2017,1.178544816,0.472494449,-0.596773341,0.401547177, Motorpool,1,9,0
plot.13.2018,Species richness,38,59.80769231,16.22223364,38,91.602686,263.1608644,plot.13, Motorpool,13,2018,1.178544816,0.472494449,-0.596773341,0.401547177, Motorpool,2,10,1
plot.14.2017,Species richness,17,24.81818182,9.59375421,17,43.62159455,92.04011984,plot.14, Motorpool,14,2017,1.208549585,0.120180797,-0.234176881,-0.832623023, Motorpool,1,11,0
plot.14.2018,Species richness,45,88.25097125,25.41288787,45,138.0593162,645.81487,plot.14, Motorpool,14,2018,1.208549585,0.120180797,-0.234176881,-0.832623023, Motorpool,2,12,1
plot.15.2017,Species richness,25,33.80851064,14.90651133,25,63.02473597,222.2040799,plot.15, Motorpool,15,2017,1.03751402,-0.55018592,-1.503264493,-1.075280336, Motorpool,1,13,0
plot.15.2018,Species richness,25,60.52291667,40.40681979,25,139.7188282,1632.711085,plot.15, Motorpool,15,2018,1.03751402,-0.55018592,-1.503264493,-1.075280336, Motorpool,2,14,1
