Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL,variance,ID,site_format,plotID,year,scaled_imperv,scaled_basal,scaled_genera,scaled_keystone,Site,year_factor,rep,year_binary
plot.1.2017,Species richness,4,4.833333333,1.92117005,4,8.598757439,3.69089436,plot.1, Ramsey Road,1,2017,-0.901724807,-0.707944463,-0.596773341,-1.397954492, Ramsey Road,1,1,0
plot.1.2018,Species richness,8,8.375,3.582033506,8,15.39565666,12.83096403,plot.1, Ramsey Road,1,2018,-0.901724807,-0.707944463,-0.596773341,-1.397954492, Ramsey Road,2,2,1
plot.10.2017,Species richness,1,1,0,1,1,0,plot.10, Ecology Woods,10,2017,0.398371148,-0.462980668,-0.052878651,-0.846965764, Ecology Woods,1,3,0
plot.10.2018,Species richness,19,102.5174419,54.05465279,19,208.4626145,2921.905488,plot.10, Ecology Woods,10,2018,0.398371148,-0.462980668,-0.052878651,-0.846965764, Ecology Woods,2,4,1
plot.11.2017,Species richness,9,25.8,12.43271853,9,50.16768055,154.57249,plot.11, Ecology Woods,11,2017,0.535541056,-0.17259553,0.12841958,0.315954938, Ecology Woods,1,5,0
plot.11.2018,Species richness,19,42.55555556,30.00360447,19,101.3615397,900.216281,plot.11, Ecology Woods,11,2018,0.535541056,-0.17259553,0.12841958,0.315954938, Ecology Woods,2,6,1
plot.12.2017,Species richness,8,11.80952381,4.392732941,8,20.41912217,19.29610269,plot.12, Ecology Woods,12,2017,0.57794612,-0.484003154,0.30971781,-0.496779262, Ecology Woods,1,7,0
plot.12.2018,Species richness,17,46.54651163,27.38545604,17,100.2210192,749.9632027,plot.12, Ecology Woods,12,2018,0.57794612,-0.484003154,0.30971781,-0.496779262, Ecology Woods,2,8,1
plot.13.2017,Species richness,6,16.71428571,6.645384203,6,29.73899942,44.16113121,plot.13, Motorpool,13,2017,1.178544816,0.472494449,-0.596773341,0.401547177, Motorpool,1,9,0
plot.13.2018,Species richness,11,34.43478261,16.87781949,11,67.51470095,284.8607909,plot.13, Motorpool,13,2018,1.178544816,0.472494449,-0.596773341,0.401547177, Motorpool,2,10,1
plot.14.2017,Species richness,2,2,0.272659924,2,2.534403632,0.074343434,plot.14, Motorpool,14,2017,1.208549585,0.120180797,-0.234176881,-0.832623023, Motorpool,1,11,0
plot.14.2018,Species richness,14,34.53333333,14.52406592,14,62.99997945,210.9484909,plot.14, Motorpool,14,2018,1.208549585,0.120180797,-0.234176881,-0.832623023, Motorpool,2,12,1
plot.15.2017,Species richness,6,6.611111111,2.398702901,6,11.31248241,5.753775608,plot.15, Motorpool,15,2017,1.03751402,-0.55018592,-1.503264493,-1.075280336, Motorpool,1,13,0
plot.15.2018,Species richness,9,11.17241379,4.232512641,9,19.46798613,17.91416325,plot.15, Motorpool,15,2018,1.03751402,-0.55018592,-1.503264493,-1.075280336, Motorpool,2,14,1
plot.16.2017,Species richness,8,11.75,5.444890078,8,22.42178845,29.64682797,plot.16, Motorpool,16,2017,0.951494594,-0.206137278,0.12841958,-0.735695676, Motorpool,1,15,0
plot.16.2018,Species richness,10,17.65217391,6.642441526,10,30.67112007,44.12202943,plot.16, Motorpool,16,2018,0.951494594,-0.206137278,0.12841958,-0.735695676, Motorpool,2,16,1
plot.17.2017,Species richness,6,16.71428571,6.396537793,6,29.25126941,40.91569573,plot.17, Chrysler,17,2017,1.288325361,-0.800975715,1.034910731,0.475460037, Chrysler,1,17,0
plot.17.2018,Species richness,6,6,1.104234525,6,8.1642599,1.219333886,plot.17, Chrysler,17,2018,1.288325361,-0.800975715,1.034910731,0.475460037, Chrysler,2,18,1
plot.18.2017,Species richness,4,8.5,2.491779414,4,13.38379791,6.208964646,plot.18, Chrysler,18,2017,1.326965479,-0.435457804,0.49101604,-0.526576579, Chrysler,1,19,0
plot.18.2018,Species richness,7,9.1,3.882155408,7,16.70888478,15.07113061,plot.18, Chrysler,18,2018,1.326965479,-0.435457804,0.49101604,-0.526576579, Chrysler,2,20,1
plot.19.2017,Species richness,2,2.5,0.719058728,2,3.90932921,0.517045455,plot.19, Chrysler,19,2017,1.308251963,-0.425500707,0.30971781,0.183887996, Chrysler,1,21,0
plot.19.2018,Species richness,8,9.952380952,3.442020288,8,16.69861675,11.84750366,plot.19, Chrysler,19,2018,1.308251963,-0.425500707,0.30971781,0.183887996, Chrysler,2,22,1
plot.2.2017,Species richness,9,10.875,5.879272128,9,22.39816163,34.56584075,plot.2, Ramsey Road,2,2017,-0.922195616,0.878348935,-0.596773341,-0.612793946, Ramsey Road,1,23,0
plot.2.2018,Species richness,11,26,16.65140922,11,58.63616236,277.2694289,plot.2, Ramsey Road,2,2018,-0.922195616,0.878348935,-0.596773341,-0.612793946, Ramsey Road,2,24,1
plot.20.2017,Species richness,3,3.2,1.584903528,3,6.306353833,2.511919192,plot.20, Chrysler,20,2017,1.28744679,0.213017442,-0.596773341,0.586557536, Chrysler,1,25,0
plot.20.2018,Species richness,10,15.98958333,6.045070593,10,27.83770398,36.54287847,plot.20, Chrysler,20,2018,1.28744679,0.213017442,-0.596773341,0.586557536, Chrysler,2,26,1
