site_format,plot,year,specialist_abundance,generalist_abundance,other_abundance,total_abundance,specialist_biomass,generalist_biomass,other_biomass,total_biomass,specialist_family_abundance,generalist_family_abundance,other_family_abundance,total_family_abundance,specialist_family_biomass,generalist_family_biomass,other_family_biomass,total_family_biomass,total_basal,genera_richness,keystone_basal,productivity_index,productivity,lat_fixed,long_fixed,imperv_1km_mean,imperv_500m_mean,prop_keystone,year_factor,rep,scaled_imperv,scaled_basal,scaled_genera,scaled_keystone,year_binary
 Ramsey Road,1,2017,6,50,21,77,84.58999778,1018.444391,0,1103.034389,10,46,21,77,144.6900088,958.3443802,0,1103.034389,3.123810677,14,0.513145316,264.1010238,84.54450386,39.7814,-75.6555,2.413990826,0.443678161,0.164269019,1,1,-0.901724807,-0.707944463,-0.596773341,-1.397954492,0
 Ramsey Road,1,2018,16,160,32,208,94.46773704,3323.337251,0,3417.804988,25,151,32,208,216.4490456,3201.355942,0,3417.804988,3.123810677,14,0.513145316,264.1010238,84.54450386,39.7814,-75.6555,2.413990826,0.443678161,0.164269019,2,2,-0.901724807,-0.707944463,-0.596773341,-1.397954492,1
 Ramsey Road,2,2017,16,40,18,74,173.8631713,931.0350234,100.3259883,1205.224183,17,39,18,74,179.0556552,925.8425395,100.3259883,1205.224183,7.63837549,14,1.45255549,715.4324121,93.66290162,39.78141,-75.6549,2.008595989,0.446224256,0.190165499,1,3,-0.922195616,0.878348935,-0.596773341,-0.612793946,0
 Ramsey Road,2,2018,18,131,36,185,155.7775397,3308.590881,0,3464.368421,22,127,36,185,258.9111701,3205.457251,0,3464.368421,7.63837549,14,1.45255549,715.4324121,93.66290162,39.78141,-75.6549,2.008595989,0.446224256,0.190165499,2,4,-0.922195616,0.878348935,-0.596773341,-0.612793946,1
 Ramsey Road,3,2017,7,60,41,108,57.72238618,3573.629951,0,3631.352337,7,60,41,108,57.72238618,3573.629951,0,3631.352337,6.135682131,18,2.681498732,1223.911383,199.474379,39.78161,-75.6561,2.744345835,0.391752577,0.437033516,1,5,-0.885043207,0.350343988,0.12841958,0.414358808,0
 Ramsey Road,3,2018,14,123,40,177,97.02932732,2807.642588,0,2904.671916,21,116,40,177,212.3606847,2692.311231,0,2904.671916,6.135682131,18,2.681498732,1223.911383,199.474379,39.78161,-75.6561,2.744345835,0.391752577,0.437033516,2,6,-0.885043207,0.350343988,0.12841958,0.414358808,1
 Ramsey Road,4,2017,7,41,27,75,100.9010684,928.3971976,77.62188324,1106.920149,8,40,27,75,104.7154302,924.5828359,77.62188324,1106.920149,13.51300189,11,1.407709824,796.9853791,58.97915103,39.78226,-75.6561,2.237657865,0.225400458,0.104174471,1,7,-0.910628912,2.942530414,-1.140668032,-0.650276026,0
 Ramsey Road,4,2018,15,181,48,244,99.44611368,2582.984679,0,2682.430793,17,179,48,244,206.0143483,2476.416445,0,2682.430793,13.51300189,11,1.407709824,796.9853791,58.97915103,39.78226,-75.6561,2.237657865,0.225400458,0.104174471,2,8,-0.910628912,2.942530414,-1.140668032,-0.650276026,1
 Creek Road,5,2017,11,78,28,117,293.0272373,1330.866931,0,1623.894168,14,75,28,117,447.4411857,1176.452983,0,1623.894168,7.156002666,10,4.908880545,2702.425127,377.6445109,39.79116,-75.642,0.798449612,0.677714286,0.685980816,1,9,-0.983303143,0.708856446,-1.321966263,2.276008137,0
 Creek Road,5,2018,43,224,33,300,329.3187459,4985.241939,0,5314.560685,60,207,33,300,1036.458538,4278.102147,0,5314.560685,7.156002666,10,4.908880545,2702.425127,377.6445109,39.79116,-75.642,0.798449612,0.677714286,0.685980816,2,10,-0.983303143,0.708856446,-1.321966263,2.276008137,1
